  1: 33.33 real 29.94 user	3.08 sys	33205848 memory (KB)
  2: 9.18 real	13.43 user	3.38 sys	33201828 memory (KB)
  2: 17.48 real	34.54 user	0.00 sys	3468 memory (KB)
  4: 5.25 real	13.55 user	3.37 sys	33204108 memory (KB)
  4: 8.71 real	34.22 user	0.00 sys	2916 memory (KB)
  6: 3.97 real	13.62 user	3.40 sys	33196044 memory (KB)
  6: 8.70 real	44.05 user	0.00 sys	3468 memory (KB)
  8: 3.32 real	13.72 user	3.51 sys	33202380 memory (KB)
  8: 6.02 real	39.87 user	0.00 sys	2892 memory (KB)
 10: 2.86 real	13.55 user	3.57 sys	33198972 memory (KB)
 10: 5.72 real	39.88 user	0.00 sys	3508 memory (KB)
 12: 2.66 real	13.80 user	3.50 sys	33199536 memory (KB)
 12: 3.43 real	35.49 user	0.01 sys	2904 memory (KB)
 14: 2.47 real	13.74 user	3.65 sys	33200700 memory (KB)
 14: 4.15 real	43.57 user	0.01 sys	2892 memory (KB)
 16: 2.32 real	13.97 user	3.52 sys	33198348 memory (KB)
 16: 3.44 real	42.63 user	0.01 sys	2916 memory (KB)
 18: 2.19 real	13.98 user	3.67 sys	33197208 memory (KB)
 18: 3.06 real	39.94 user	0.01 sys	3468 memory (KB)
 20: 2.12 real	14.17 user	3.63 sys	33194988 memory (KB)
 20: 2.84 real	41.03 user	0.02 sys	2916 memory (KB)
 22: 2.03 real	14.11 user	3.74 sys	33194312 memory (KB)
 22: 2.34 real	40.77 user	0.04 sys	2920 memory (KB)
 24: 1.98 real	14.30 user	3.67 sys	33193740 memory (KB)
 24: 2.25 real	40.82 user	0.02 sys	2892 memory (KB)
 26: 1.93 real	14.59 user	3.86 sys	33192644 memory (KB)
 26: 2.03 real	42.00 user	0.01 sys	2900 memory (KB)
 28: 1.89 real	14.46 user	3.81 sys	33191480 memory (KB)
 28: 1.93 real	38.84 user	0.02 sys	2336 memory (KB)
 30: 1.84 real	15.01 user	3.78 sys	33192036 memory (KB)
 30: 1.90 real	39.54 user	0.01 sys	3492 memory (KB)
 32: 1.83 real	15.03 user	4.04 sys	33188016 memory (KB)
 32: 1.63 real	38.81 user	0.03 sys	2892 memory (KB)
 34: 1.84 real	15.34 user	4.17 sys	33189764 memory (KB)
 34: 1.64 real	41.09 user	0.00 sys	2896 memory (KB)
 36: 1.79 real	15.52 user	4.22 sys	33195468 memory (KB)
 36: 1.13 real	35.21 user	0.02 sys	3480 memory (KB)
 38: 1.80 real	15.31 user	4.11 sys	33186272 memory (KB)
 38: 1.58 real	37.54 user	0.07 sys	3516 memory (KB)
 40: 1.79 real	16.24 user	4.45 sys	33186832 memory (KB)
 40: 1.52 real	38.73 user	0.06 sys	2940 memory (KB)
 42: 1.75 real	16.68 user	4.71 sys	33188556 memory (KB)
 42: 1.47 real	47.82 user	0.00 sys	2904 memory (KB)
 44: 1.78 real	17.02 user	4.80 sys	33190896 memory (KB)
 44: 1.38 real	44.21 user	0.01 sys	2936 memory (KB)
 46: 1.76 real	17.59 user	4.73 sys	33189708 memory (KB)
 46: 1.32 real	46.28 user	0.04 sys	2892 memory (KB)
 48: 1.83 real	18.98 user	4.84 sys	33186852 memory (KB)
 48: 1.26 real	47.14 user	0.02 sys	2892 memory (KB)
 50: 1.85 real	20.28 user	5.21 sys	33187424 memory (KB)
 50: 1.22 real	49.97 user	0.08 sys	2892 memory (KB)
 52: 1.80 real	20.82 user	5.38 sys	33189156 memory (KB)
 52: 1.18 real	49.10 user	0.06 sys	2892 memory (KB)
 54: 1.77 real	21.53 user	5.47 sys	33186880 memory (KB)
 54: 1.14 real	51.34 user	0.04 sys	2916 memory (KB)
 56: 1.76 real	20.67 user	5.70 sys	33190284 memory (KB)
 56: 1.11 real	52.04 user	0.03 sys	2892 memory (KB)
 58: 1.79 real	21.52 user	5.73 sys	33186268 memory (KB)
 58: 1.07 real	53.22 user	0.06 sys	2912 memory (KB)
 60: 1.82 real	24.43 user	6.16 sys	33186252 memory (KB)
 60: 1.05 real	53.55 user	0.09 sys	2916 memory (KB)
 62: 1.81 real	24.75 user	6.02 sys	33186844 memory (KB)
 62: 1.02 real	54.25 user	0.07 sys	2892 memory (KB)
 64: 1.75 real	24.44 user	6.22 sys	33186280 memory (KB)
 64: 0.99 real	57.52 user	0.07 sys	2916 memory (KB)
 66: 1.77 real	25.30 user	6.06 sys	33189180 memory (KB)
 66: 0.97 real	56.71 user	0.07 sys	2940 memory (KB)
 68: 1.77 real	25.61 user	6.17 sys	33186852 memory (KB)
 68: 0.94 real	57.14 user	0.07 sys	2892 memory (KB)
 70: 1.81 real	27.92 user	6.60 sys	33186844 memory (KB)
 70: 0.90 real	57.64 user	0.07 sys	2892 memory (KB)
 72: 1.75 real	28.10 user	6.49 sys	33185100 memory (KB)
 72: 0.89 real	58.64 user	0.08 sys	2888 memory (KB)
 74: 1.82 real	27.52 user	6.31 sys	33190284 memory (KB)
 74: 1.13 real	58.03 user	0.08 sys	2948 memory (KB)
 76: 1.84 real	26.80 user	6.26 sys	33186828 memory (KB)
 76: 1.08 real	57.77 user	0.08 sys	3468 memory (KB)
 78: 1.88 real	25.05 user	5.91 sys	33190860 memory (KB)
 78: 1.09 real	56.14 user	0.81 sys	2892 memory (KB)
 80: 1.69 real	25.94 user	6.05 sys	33185100 memory (KB)
 80: 1.19 real	57.10 user	0.40 sys	3508 memory (KB)
 82: 1.85 real	28.51 user	6.21 sys	33190332 memory (KB)
 82: 1.18 real	57.21 user	0.11 sys	2916 memory (KB)
 84: 1.82 real	28.22 user	6.45 sys	33189720 memory (KB)
 84: 1.16 real	57.06 user	0.08 sys	2904 memory (KB)
